name,ssn_solved,ssn_status,pmm_iter,ssn_iter,ssn_obj,pmm_tol_achieved,ssn_time,ssn_peak_ram_mb,qpalm_solved,qpalm_status,qpalm_iter,qpalm_obj,qpalm_tol_achieved,qpalm_time,qpalm_peak_ram_mb,osqp_solved,osqp_status,osqp_iter,osqp_obj,osqp_tol_achieved,osqp_time,osqp_peak_ram_mb
QSCSD8,1,0,21,248,940.7635083528685,3.0880438202697226e-07,0.9149027075618505,112.953125,1,1,339,940.7635540182777,8.752796785889318e-06,0.20137395896017551,106.421875,,,,,,,
QSCTAP1,1,0,19,232,1415.8611231053108,3.451867625009876e-09,0.12328712455928326,100.171875,1,1,239,1415.861124962817,2.9114184232007223e-05,0.027193749323487282,98.78125,,,,,,,
QSCTAP2,1,0,14,77,1735.026520856775,5.882379223902428e-07,0.21010896004736423,105.65625,1,1,143,1735.0261569985635,2.8957460531203695e-05,0.07639804296195507,104.515625,,,,,,,
QSCTAP3,1,0,23,99,1438.754508758653,9.062662905337309e-07,0.3600724581629038,108.125,1,1,139,1438.7545745753218,2.6928572415298816e-05,0.10596329160034657,104.5,,,,,,,
QSEBA,0,4,44340,797772,81465185.1183003,8.234336570548114e-06,361.3768436256796,98.5625,1,1,128,81480256.47216193,0.004592584274071839,0.028137626126408577,99.046875,,,,,,,
QSHARE1B,0,4,157841,3096160,720130.4446222511,4.814747673580678e-06,315.05639137513936,102.046875,1,1,423,720078.2814725242,0.002798934008784936,0.021836167201399803,101.3125,,,,,,,
QSHARE2B,1,0,43,590,11703.637484102102,2.8769465437093987e-07,0.029388541355729103,101.359375,1,1,153,11703.660116057361,0.00018864949127282254,0.004170166328549385,100.6875,,,,,,,
QSHELL,0,4,2717,53866,1570184859722.0806,0.9264377472183171,576.3258238751441,146.375,1,1,386,1572636841659.7815,0.02231442018159016,0.5345730856060982,114.171875,,,,,,,
QSHIP04L,1,0,44,456,2420008.5044233836,5.849512923668231e-07,0.7446765843778849,110.296875,1,1,364,2420014.8340989184,4.021577084145633e-05,0.14280087500810623,106.078125,,,,,,,
QSHIP04S,1,0,36,391,2424982.643275663,7.332957684920223e-07,0.43863795697689056,104.359375,1,1,328,2424993.554990882,2.4366094161054137e-05,0.09291716665029526,102.328125,,,,,,,
QSHIP08L,1,0,36,528,2376032.7182575115,9.851959380667047e-07,6.212251789867878,110.53125,1,1,369,2376040.636811156,6.0489658302303074e-05,0.818996749818325,122.03125,,,,,,,
QSHIP08S,1,0,42,561,2385725.393748623,3.6643684101054134e-07,2.1815165001899004,123.703125,1,1,292,2385728.4352404317,0.007241172962341476,0.22845483385026455,108.03125,,,,,,,
QSHIP12L,1,0,208,2457,3018851.621058228,9.528194418323383e-07,31.881480667740107,185.625,1,1,454,3018876.5267719775,0.005635940340648376,1.5534043330699205,133.125,,,,,,,
QSHIP12S,1,0,103,1434,3056936.492362829,9.849048072427716e-07,5.857398292049766,131.015625,1,1,368,3056961.570086856,0.0006470912997175018,0.32695274986326694,111.03125,,,,,,,
QSIERRA,1,0,18,227,23750378.375146963,2.7928159461871025e-07,0.5049761664122343,106.71875,1,1,371,23750486.066666275,0.06178104068398553,0.14430887438356876,103.1875,,,,,,,
QSTAIR,1,0,707,12095,7985460.229610838,7.896948429594806e-07,14.216024208813906,107.9375,1,1,297,7985452.718992157,1.3849824641165885e-05,0.06376741826534271,101.921875,,,,,,,
QSTANDAT,1,0,22,266,6411.8362942456615,5.321678963575655e-07,0.19208520837128162,103.125,1,1,36,6411.832555866471,6.350490132960596e-05,0.0082292091101408,100.4375,,,,,,,
S268,1,0,63,561,-1.2519121810328215e-06,9.465308328523263e-07,0.0021083764731884003,98.671875,1,1,7,-14462.99960512596,0.006628919754078942,6.245821714401245e-05,98.578125,,,,,,,
STADAT1,0,4,15003,281186,-27578629.191505477,7.697329843833064e-05,464.8305620010942,131.609375,1,1,1104,-28526860.722362,0.0018837299556659756,0.9198142904788256,108.0625,,,,,,,
STADAT2,1,0,42674,801602,-32.62611408018658,9.99717460796686e-07,827.8059914577752,100.40625,1,1,447,-32.62666092617278,2.527886953892933e-07,0.3093690425157547,106.6875,,,,,,,
STADAT3,0,4,33142,611573,-25.001161632427205,0.00028892356353755404,1200.0170338340104,98.46875,1,1,616,-35.779460263322335,8.142825919142322e-07,0.9287050850689411,116.875,,,,,,,
STCQP1,1,0,37,480,155142.79565512598,9.875409531200761e-07,73.61401858367026,302.125,1,1,47,155143.55088111933,8.890638437009102e-06,0.13072491623461246,119.34375,,,,,,,
